component,eigenvalue,explained_variance_ratio,cumulative_variance
423,0.0016838044,7.912058e-06,0.9983417
424,0.0016814967,7.901214e-06,0.9983496
425,0.0016742538,7.867181e-06,0.9983575
426,0.0016690184,7.84258e-06,0.99836534
427,0.0016616593,7.808e-06,0.99837315
428,0.0016495306,7.7510085e-06,0.9983809
429,0.0016475386,7.741648e-06,0.99838865
430,0.0016351312,7.683347e-06,0.99839634
431,0.0016126325,7.5776275e-06,0.9984039
432,0.0016102956,7.566646e-06,0.9984115
433,0.0016034287,7.5343796e-06,0.998419
434,0.0015979458,7.5086155e-06,0.9984265
435,0.0015901447,7.4719587e-06,0.99843395
436,0.0015833677,7.440114e-06,0.9984414
437,0.0015722631,7.3879346e-06,0.9984488
438,0.0015596228,7.328539e-06,0.9984561
439,0.0015458731,7.2639305e-06,0.9984634
440,0.0015429987,7.2504236e-06,0.99847066
441,0.0015332518,7.204624e-06,0.9984779
442,0.0015306035,7.1921795e-06,0.9984851
443,0.0015190153,7.1377276e-06,0.99849224
444,0.0015125535,7.107364e-06,0.99849933
445,0.0015084044,7.0878677e-06,0.9985064
446,0.0015025763,7.060482e-06,0.99851346
447,0.0014902396,7.002513e-06,0.99852043
448,0.0014799675,6.9542452e-06,0.9985274
449,0.0014751402,6.9315624e-06,0.9985343
450,0.0014637326,6.8779586e-06,0.9985412
451,0.0014580499,6.851256e-06,0.99854803
452,0.0014513013,6.819545e-06,0.9985548
453,0.0014420743,6.7761885e-06,0.9985616
454,0.0014340491,6.7384785e-06,0.99856836
455,0.0014286333,6.7130304e-06,0.9985751
456,0.0014236943,6.689822e-06,0.99858177
457,0.0014114802,6.632429e-06,0.9985884
458,0.0014083482,6.617712e-06,0.998595
459,0.0013932373,6.546707e-06,0.99860156
460,0.0013907728,6.5351264e-06,0.9986081
461,0.0013839192,6.502922e-06,0.9986146
462,0.0013772637,6.4716482e-06,0.9986211
463,0.0013741299,6.456923e-06,0.99862754
464,0.0013632496,6.4057976e-06,0.9986339
465,0.0013571915,6.377331e-06,0.9986403
466,0.0013497578,6.3424004e-06,0.9986466
467,0.0013437745,6.3142857e-06,0.99865294
468,0.0013305944,6.2523536e-06,0.9986592
469,0.0013220799,6.2123445e-06,0.9986654
470,0.0013154242,6.1810697e-06,0.9986716
471,0.0013092977,6.152282e-06,0.99867773
472,0.0013044368,6.129441e-06,0.99868387
