seed,dimension,method,eer,accuracy,auc,delta_eer
42,1024,Gabor + PCA,5.562229606871907,94.43777039312809,0.9831650923905315,0.0
42,1024,Gabor + XPCA (Min-Max),6.531820176813591,93.4681798231864,0.9807039866403429,0.9695905699416842
42,1024,Gabor + XPCA (Softmax),8.401780675904444,91.59821932409555,0.9726059644384768,2.839551069032537
42,1024,Gabor + XPCA (Residual),3.946579722866639,96.05342027713336,0.989233726405356,-1.615649884005268
42,1024,Gabor + XPCA (Sort),3.8814972725562753,96.11850272744373,0.989638596196107,-1.6807323343156315
42,1024,Gabor + XPCA (Sort Weights),15.901185027274439,84.09881497272555,0.9223763220876298,10.338955420402531
43,32,Raw PCA,10.526553388927203,89.47344661107279,0.9601854447637209,0.0
43,32,Raw XPCA (Min-Max),13.76938993040316,86.23061006959685,0.9375015789658806,3.242836541475956
43,32,Gabor + PCA,8.687441218885194,91.3125587811148,0.9680577034419162,0.0
43,32,Gabor + XPCA (Min-Max),8.610571195686248,91.38942880431375,0.9701241145174634,-0.07687002319894631
43,32,Gabor + XPCA (Softmax),9.828954793403973,90.17104520659602,0.9642729052513421,1.141513574518779
43,32,Gabor + XPCA (Residual),7.46354003385792,92.53645996614208,0.9725056079668578,-1.223901185027274
43,32,Gabor + XPCA (Sort),7.19882124271114,92.80117875728887,0.974105408550731,-1.4886199761740544
43,32,Gabor + XPCA (Sort Weights),17.080318515267418,82.91968148473259,0.9180575817124401,8.392877296382224
43,64,Raw PCA,9.651012602671013,90.34898739732898,0.9649371726035274,0.0
43,64,Raw XPCA (Min-Max),11.573515580914163,88.42648441908584,0.9504641752904456,1.9225029782431502
43,64,Gabor + PCA,8.007273183271677,91.99272681672832,0.9721496514040946,0.0
43,64,Gabor + XPCA (Min-Max),8.291805128848202,91.7081948711518,0.9717381935406912,0.28453194557652495
43,64,Gabor + XPCA (Softmax),9.674587748448177,90.32541225155182,0.9654571752338628,1.6673145651765005
43,64,Gabor + XPCA (Residual),6.844692457207346,93.15530754279266,0.9766344466890652,-1.1625807260643306
43,64,Gabor + XPCA (Sort),6.933350053294875,93.06664994670513,0.9773401326484266,-1.0739231299768015
43,64,Gabor + XPCA (Sort Weights),16.962568186093176,83.03743181390682,0.9186904477534337,8.955295002821499
43,128,Raw PCA,9.397078186720169,90.60292181327983,0.9666471328579358,0.0
43,128,Raw XPCA (Min-Max),10.298200514138816,89.70179948586119,0.958535725307344,0.9011223274186477
43,128,Gabor + PCA,7.3331243338140295,92.66687566618597,0.9743987765881797,0.0
43,128,Gabor + XPCA (Min-Max),8.090162392626496,91.9098376073735,0.9723449030369667,0.7570380588124666
43,128,Gabor + XPCA (Softmax),9.482976989152924,90.51702301084707,0.9659956110100946,2.1498526553388944
43,128,Gabor + XPCA (Residual),6.42610821995109,93.57389178004891,0.9792230980151672,-0.9070161138629391
43,128,Gabor + XPCA (Sort),6.310865885008463,93.68913411499153,0.9796665860234375,-1.0222584488055668
43,128,Gabor + XPCA (Sort Weights),17.054360774970217,82.94563922502978,0.9188935891691352,9.721236441156186
43,256,Raw PCA,9.072794532572573,90.92720546742743,0.9665332295472306,0.0
43,256,Raw XPCA (Min-Max),9.856668129663301,90.1433318703367,0.9620656354324529,0.7838735970907287
43,256,Gabor + PCA,7.122578218070097,92.8774217819299,0.9763347462720349,0.0
43,256,Gabor + XPCA (Min-Max),7.891780048905886,92.10821995109411,0.9734468887872778,0.7692018308357893
