PC_Index,Explained_Variance,Variance_Ratio,Fisher_Score,Fisher_Rank
480,0.051760986,0.00017656479,0.41746673,504
481,0.051323567,0.00017507268,0.5202624,397
482,0.051196463,0.00017463912,0.5004702,415
483,0.051145762,0.00017446617,0.46968815,450
484,0.050762482,0.00017315874,0.42218074,502
485,0.050702684,0.00017295475,0.4914642,428
486,0.05050574,0.00017228295,0.4602311,466
487,0.05022489,0.00017132492,0.42213395,503
488,0.050018493,0.00017062087,0.52724195,385
489,0.049881835,0.00017015472,0.48366073,437
490,0.04966226,0.0001694057,0.45550492,467
491,0.049362797,0.0001683842,0.48627314,434
492,0.04912429,0.00016757062,0.41389748,506
493,0.049039636,0.00016728185,0.49672002,423
494,0.048911933,0.00016684622,0.46230036,461
495,0.04871026,0.0001661583,0.5303182,382
496,0.04830775,0.00016478526,0.46047726,465
497,0.048114795,0.00016412706,0.44980168,474
498,0.047944095,0.00016354478,0.42581797,499
499,0.047572266,0.00016227641,0.46531335,457
500,0.04753163,0.0001621378,0.4421551,482
501,0.04733833,0.00016147843,0.48011395,440
502,0.04714651,0.0001608241,0.49691522,421
503,0.046959702,0.00016018686,0.4271211,495
504,0.046467103,0.00015850653,0.426197,496
505,0.046301126,0.00015794036,0.45118722,472
506,0.046127755,0.00015734896,0.50326276,413
507,0.045738515,0.0001560212,0.5085281,410
508,0.045524143,0.00015528995,0.40498093,509
509,0.0454015,0.0001548716,0.45136386,471
510,0.045282826,0.00015446678,0.3800443,512
511,0.044807237,0.00015284447,0.42903236,494
512,0.04466323,0.00015235324,0.40867916,507
